date,sales,trend,seasonal,dayofweek_effect,holiday_effect,noise,year,month,day,dayofweek,quarter,weekofyear,is_weekend
2020-01-25,633.3553313859716,2.4000000000000004,61.84298587647525,50.0,30.0,-10.887654490503653,2020,1,25,5,1,4,1
2020-01-26,634.7436250995512,2.5,20.02517330535381,80.0,30.0,2.2184517941973216,2020,1,26,6,1,4,1
2020-01-27,444.11129209750584,2.6,-5.4688363540480935,-30.0,0.0,-23.019871548446055,2020,1,27,0,1,5,0
2020-01-28,515.945320417553,2.7,5.731360050639552,0.0,0.0,7.513960366913439,2020,1,28,1,1,5,0
2020-01-29,537.142253291909,2.8000000000000003,46.35502709028504,0.0,0.0,-12.012773798376099,2020,1,29,2,1,5,0
2020-01-30,584.0310831391147,2.9000000000000004,86.9649581349803,0.0,0.0,-5.833874995865536,2020,1,30,3,1,5,0
2020-01-31,619.089818380501,3.0,98.12395062508895,30.0,0.0,-12.034132244587939,2020,1,31,4,1,5,0
2020-02-01,692.7068450312671,3.1,72.5612813410884,50.0,30.0,37.04556369017875,2020,2,1,5,1,5,1
2020-02-02,643.5774292859185,3.2,30.647373780677167,80.0,30.0,-0.26994449475867827,2020,2,2,6,1,5,1
2020-02-03,457.1999029656208,3.3000000000000003,5.054121544738798,-30.0,0.0,-21.154218579117998,2020,2,3,0,1,6,0
2020-02-04,536.0028554354243,3.4000000000000004,16.151957193360545,0.0,0.0,16.45089824206378,2020,2,4,1,1,6,0
2020-02-05,535.7533026296912,3.5,56.6701756291117,0.0,0.0,-24.416872999420445,2020,2,5,2,1,6,0
2020-02-06,604.9488733688767,3.6,97.17160146878155,0.0,0.0,4.177271900095108,2020,2,6,3,1,6,0
2020-02-07,602.7256618275719,3.7,108.21906430516754,30.0,0.0,-39.19340247759551,2020,2,7,4,1,6,0
2020-02-08,639.778152989422,3.8000000000000003,82.54187396739057,50.0,30.0,-26.56372097796861,2020,2,8,5,1,6,1
2020-02-09,658.3477126055914,3.9000000000000004,40.5104878882089,80.0,30.0,3.9372247173824704,2020,2,9,6,1,6,1
2020-02-10,503.5661660798348,4.0,14.796834479926574,-30.0,0.0,14.76933159990821,2020,2,10,0,1,7,0
2020-02-11,533.2987476038961,4.1000000000000005,25.7713819800966,0.0,0.0,3.42736562379941,2020,2,11,1,1,7,0
2020-02-12,568.050496176463,4.2,66.16346182422777,0.0,0.0,-2.3129656477648104,2020,2,12,2,1,7,0
2020-02-13,604.8138620949102,4.3,106.53593600669599,0.0,0.0,-6.022073911785776,2020,2,13,3,1,7,0
2020-02-14,622.2812325241094,4.4,117.45167233145796,30.0,0.0,-29.57043980734855,2020,2,14,4,1,7,0
2020-02-15,661.7431354931485,4.5,91.6400196610427,50.0,30.0,-14.396884167894173,2020,2,15,5,1,7,1
2020-02-16,654.8586998531039,4.6000000000000005,49.471475272299635,80.0,30.0,-9.21277541919575,2020,2,16,6,1,7,1
2020-02-17,519.4604527448784,4.7,23.618008220500073,-30.0,0.0,21.142444524378313,2020,2,17,0,1,8,0
2020-02-18,546.1224939643663,4.800000000000001,34.45012817299701,0.0,0.0,6.872365791369228,2020,2,18,1,1,8,0
2020-02-19,544.3364056624007,4.9,74.69720876965543,0.0,0.0,-35.26080310725468,2020,2,19,2,1,8,0
2020-02-20,626.4038343591536,5.0,114.9221549712577,0.0,0.0,6.4816793878959,2020,2,20,3,1,8,0
2020-02-21,653.0862326891587,5.1000000000000005,125.68787829748497,30.0,0.0,-7.701645608326331,2020,2,21,4,1,8,0
2020-02-22,671.385332056836,5.2,99.72377206295522,50.0,30.0,-13.538440006119174,2020,2,22,5,1,8,1
2020-02-23,684.9339044966173,5.300000000000001,57.40037871979989,80.0,30.0,12.233525776817357,2020,2,23,6,1,8,1
2020-02-24,527.4097036582955,5.4,31.3897132083765,-30.0,0.0,20.61999044991902,2020,2,24,0,1,9,0
2020-02-25,566.1879341596585,5.5,42.062331777334556,0.0,0.0,18.625602382323972,2020,2,25,1,1,9,0
2020-02-26,570.9633048657885,5.6000000000000005,82.14765533024132,0.0,0.0,-16.78435046445277,2020,2,26,2,1,9,0
2020-02-27,621.7243892429578,5.7,122.20863675998221,0.0,0.0,-6.184247517024292,2020,2,27,3,1,9,0
2020-02-28,675.2335048006103,5.800000000000001,132.808236172539,30.0,0.0,6.625268628071279,2020,2,28,4,1,9,0
2020-02-29,712.086798651078,5.9,106.67589610863078,50.0,30.0,19.510902542447184,2020,2,29,5,1,9,1
2020-03-01,670.5987241147969,6.0,64.18220887170278,80.0,30.0,-9.583484756905799,2020,3,1,6,1,9,1
2020-03-02,510.3860603305922,6.1000000000000005,37.99923986386852,-30.0,0.0,-3.7131795332763424,2020,3,2,0,1,10,0
2020-03-03,532.5708969109021,6.2,48.497596391022725,0.0,0.0,-22.126699480120564,2020,3,3,1,1,10,0
2020-03-04,570.7826185127228,6.300000000000001,88.40675099433625,0.0,0.0,-23.924132481613416,2020,3,4,2,1,10,0
2020-03-05,650.9402252172401,6.4,128.28970876935625,0.0,0.0,16.25051644788396,2020,3,5,3,1,10,0
2020-03-06,702.334283145732,6.5,138.70948257431553,30.0,0.0,27.124800571416458,2020,3,6,4,1,10,0
2020-03-07,697.555365804535,6.6000000000000005,112.3955682361416,50.0,30.0,-1.4402024316066768,2020,3,7,5,1,10,1
2020-03-08,706.489269820496,6.7,69.71861186265558,80.0,30.0,20.07065795784048,2020,3,8,6,1,10,1
2020-03-09,527.383453663525,6.800000000000001,43.35073316257223,-30.0,0.0,7.2327205009526825,2020,3,9,0,1,11,0
2020-03-10,547.6601991424156,6.9,53.662594234518096,0.0,0.0,-12.902395092102486,2020,3,10,1,1,11,0
2020-03-11,607.6116349924607,7.0,93.38372288229239,0.0,0.0,7.227912110168279,2020,3,11,2,1,11,0
2020-03-12,670.9379112469104,7.1000000000000005,133.07717991759097,0.0,0.0,30.760731329319384,2020,3,12,3,1,11,0
2020-03-13,679.7895135696065,7.2,143.30603435180547,30.0,0.0,-0.7165207821990306,2020,3,13,4,1,11,0
2020-03-14,735.3927117016739,7.300000000000001,116.79983858539369,50.0,30.0,31.29287311628012,2020,3,14,5,1,11,1
2020-03-15,638.9343936215179,7.4,73.92929570331276,80.0,30.0,-52.39490208179489,2020,3,15,6,1,11,1
2020-03-16,541.3046328656435,7.5,47.366582778139005,-30.0,0.0,16.438050087504475,2020,3,16,0,1,12,0
2020-03-17,566.8233610068473,7.6000000000000005,57.48241964208391,0.0,0.0,1.7409413647634266,2020,3,17,1,1,12,0
2020-03-18,598.7262451758336,7.7,97.00639218515093,0.0,0.0,-5.980147009317357,2020,3,18,2,1,12,0
2020-03-19,646.1368351713535,7.800000000000001,136.50161964064347,0.0,0.0,1.835215530710046,2020,3,19,3,1,12,0
2020-03-20,794.679851467639,7.9,146.5312297596568,30.0,150.0,-39.751378292017854,2020,3,20,4,1,12,0
2020-03-21,703.4313962262887,8.0,119.82483398303896,50.0,30.0,-4.393437756750239,2020,3,21,5,1,12,1
2020-03-22,701.9954461495668,8.1,76.75319471933177,80.0,30.0,7.1422514302349285,2020,3,22,6,1,12,1
2020-03-23,557.7464295251377,8.200000000000001,49.988548630307484,-30.0,0.0,29.557880894830323,2020,3,23,0,1,13,0
2020-03-24,557.836271019861,8.3,59.90167538533394,0.0,0.0,-10.365404365472948,2020,3,24,1,1,13,0
2020-03-25,591.4523488839294,8.4,99.22222094179308,0.0,0.0,-16.169872057863753,2020,3,25,2,1,13,0
2020-03-26,636.9782239411061,8.5,138.51336481279682,0.0,0.0,-10.03514087169073,2020,3,26,3,1,13,0
2020-03-27,705.2463375778507,8.6,148.33829522380913,30.0,0.0,18.308042354041483,2020,3,27,4,1,13,0
2020-03-28,716.7017064598876,8.700000000000001,121.42668426669391,50.0,30.0,6.575022193193689,2020,3,28,5,1,13,1
2020-03-29,686.3541510843385,8.8,78.1493551596793,80.0,30.0,-10.595204075340776,2020,3,29,6,1,13,1
2020-03-30,540.3439541771443,8.9,51.17860551487712,-30.0,0.0,10.265348662267122,2020,3,30,0,1,14,0
2020-03-31,571.8268270615483,9.0,60.88527607458749,0.0,0.0,1.9415509869608076,2020,3,31,1,1,14,0
2020-04-01,778.4719737842763,9.1,99.99907397361851,0.0,150.0,19.372899810657785,2020,4,1,2,2,14,0
2020-04-02,634.2421781113281,9.200000000000001,139.0832399888752,0.0,0.0,-14.041061877547047,2020,4,2,3,2,14,0
2020-04-03,681.4477807458718,9.3,148.70102367782704,30.0,0.0,-6.5532429319553644,2020,4,3,4,2,14,0
2020-04-04,703.1399954517382,9.4,121.58215851438142,50.0,30.0,-7.842163062643152,2020,4,4,5,2,14,1
2020-04-05,668.3272301680187,9.5,78.09752913066114,80.0,30.0,-29.27029896264237,2020,4,5,6,2,14,1
2020-04-06,536.4419001076174,9.600000000000001,50.919494566325874,-30.0,0.0,5.922405541291521,2020,4,6,0,2,15,0
2020-04-07,575.3400624302658,9.700000000000001,60.41895698666793,0.0,0.0,5.221105443597787,2020,4,7,1,2,15,0
2020-04-08,609.2279540595905,9.8,99.32568492674126,0.0,0.0,0.102269132849218,2020,4,8,2,2,15,0
2020-04-09,643.4112378552442,9.9,138.20298052274708,0.0,0.0,-4.6917426675029485,2020,4,9,3,2,15,0
2020-04-10,659.306739791317,10.0,147.61415463232527,30.0,0.0,-28.307414841008285,2020,4,10,4,2,15,0
2020-04-11,701.9760954969536,10.100000000000001,120.28900195226078,50.0,30.0,-8.41290645530718,2020,4,11,5,2,15,1
2020-04-12,689.9441779115851,10.200000000000001,76.59846824212049,80.0,30.0,-6.85429033053539,2020,4,12,6,2,15,1
2020-04-13,513.4694281710256,10.3,49.21497355545795,-30.0,0.0,-16.04554538443238,2020,4,13,0,2,16,0
2020-04-14,565.6837667065155,10.4,58.50948093983567,0.0,0.0,-3.2257142333201827,2020,4,14,1,2,16,0
2020-04-15,615.792836799197,10.5,97.2118196629063,0.0,0.0,8.081017136290768,2020,4,15,2,2,16,0
2020-04-16,684.2090704500184,10.600000000000001,135.8853524258078,0.0,0.0,37.723718024210605,2020,4,16,3,2,16,0
2020-04-17,689.2850067221428,10.700000000000001,145.09345046550618,30.0,0.0,3.491556256636779,2020,4,17,4,2,16,0
2020-04-18,713.516976469063,10.8,117.5659686546077,50.0,30.0,5.15100781445528,2020,4,18,5,2,16,1
2020-04-19,693.0849943918438,10.9,73.67391270716716,80.0,30.0,-1.488918315323342,2020,4,19,6,2,16,1
2020-04-20,488.7143380861452,11.0,46.08976239212602,-30.0,0.0,-38.37542430598083,2020,4,20,0,2,17,0
2020-04-21,565.7542627066564,11.100000000000001,55.18454021564067,0.0,0.0,-0.5302775089843376,2020,4,21,1,2,17,0
2020-04-22,606.0927388283635,11.200000000000001,93.68813462954296,0.0,0.0,1.2046041988205287,2020,4,22,2,2,17,0
2020-04-23,692.7288094769048,11.3,132.1639672271991,0.0,0.0,49.26484224970572,2020,4,23,3,2,17,0
2020-04-24,678.728248532778,11.4,141.17546782840054,30.0,0.0,-3.8472192956224505,2020,4,24,4,2,17,0
2020-04-25,710.9834964084894,11.5,113.45254956181714,50.0,30.0,6.030946846672249,2020,4,25,5,2,17,1
2020-04-26,690.272040659439,11.600000000000001,69.36627605354391,80.0,30.0,-0.6942353941048662,2020,4,26,6,2,17,1
2020-04-27,499.91562387098656,11.700000000000001,41.58918462337723,-30.0,0.0,-23.37356075239064,2020,4,27,0,2,18,0
2020-04-28,585.1488112403897,11.8,50.49235495008927,0.0,0.0,22.85645629030041,2020,4,28,1,2,18,0
2020-04-29,615.7443929166842,11.9,88.80573226294875,0.0,0.0,15.038660653735484,2020,4,29,2,2,18,0
2020-04-30,654.9134334616155,12.0,127.0927945207545,0.0,0.0,15.820638940860938,2020,4,30,3,2,18,0
2020-05-01,659.8292783841285,12.100000000000001,135.91702748002334,30.0,0.0,-18.18774909589478,2020,5,1,4,2,18,0
2020-05-02,728.2642859795912,12.200000000000001,108.00839976086924,50.0,30.0,28.055886218721984,2020,5,2,5,2,18,1
2020-05-03,658.0010087632596,12.3,63.7380300191053,80.0,30.0,-28.037021255845616,2020,5,3,6,2,18,1
2020-05-04,529.9156520022206,12.4,35.7785101262152,-30.0,0.0,11.737141876005406,2020,5,4,0,2,19,0
2020-05-05,600.8100863346614,12.5,44.50097381846185,0.0,0.0,43.80911251619957,2020,5,5,1,2,19,0
2020-05-06,575.424693369777,12.600000000000001,82.63541987239073,0.0,0.0,-19.810726502613768,2020,5,6,2,2,19,0
2020-05-07,622.1194246759378,12.700000000000001,120.74537926799317,0.0,0.0,-11.325954592055439,2020,5,7,3,2,19,0
2020-05-08,674.1874175429384,12.8,129.3943902411857,30.0,0.0,1.9930273017528244,2020,5,8,4,2,19,0
2020-05-09,684.142960251816,12.9,101.31247333414001,50.0,30.0,-10.069513082323985,2020,5,9,5,2,19,1
2020-05-10,648.857529930671,13.0,56.87079855199376,80.0,30.0,-31.013268621322652,2020,5,10,6,2,19,1
2020-05-11,513.2132680237333,13.100000000000001,28.742008527612867,-30.0,0.0,1.3712594961205467,2020,5,11,0,2,20,0
2020-05-12,529.2512128811305,13.200000000000001,37.29728715565265,0.0,0.0,-21.246074274522098,2020,5,12,1,2,20,0
2020-05-13,598.0385313659045,13.3,75.26668275320097,0.0,0.0,9.471848612703631,2020,5,13,2,2,20,0
2020-05-14,608.2252905235848,13.4,113.21377520826094,0.0,0.0,-18.38848468467607,2020,5,14,3,2,20,0
2020-05-15,696.2008391180909,13.5,121.70215101774005,30.0,0.0,30.998688100350797,2020,5,15,4,2,20,0
2020-05-16,671.396812476749,13.600000000000001,93.46187832347368,50.0,30.0,-15.665065846724742,2020,5,16,5,2,20,1
2020-05-17,666.1229437307263,13.700000000000001,48.86417405483978,80.0,30.0,-6.441230324113512,2020,5,17,6,2,20,1
2020-05-18,520.652071427,13.8,20.58172707960665,-30.0,0.0,16.270344347393394,2020,5,18,0,2,21,0
2020-05-19,518.2684804956206,13.9,28.985766824299752,0.0,0.0,-24.617286328679103,2020,5,19,1,2,21,0
2020-05-20,585.3555851134356,14.0,66.80638642135311,0.0,0.0,4.549198692082588,2020,5,20,2,2,21,0
2020-05-21,644.8500649299582,14.100000000000001,104.60720984430964,0.0,0.0,26.142855085648563,2020,5,21,3,2,21,0
2020-05-22,625.0022022415232,14.200000000000001,112.9518669327476,30.0,0.0,-32.14966469122455,2020,5,22,4,2,21,0
2020-05-23,682.5631455861073,14.3,84.57046841546125,50.0,30.0,3.692677170646084,2020,5,23,5,2,21,1
2020-05-24,669.4319289254236,14.4,39.83427304045509,80.0,30.0,5.197655884968469,2020,5,24,6,2,21,1
2020-05-25,511.5524681489474,14.5,11.41601071340122,-30.0,0.0,15.6364574355462,2020,5,25,0,2,22,0
2020-05-26,509.5479368882836,14.600000000000001,19.686951105845232,0.0,0.0,-24.73901421756164,2020,5,26,1,2,22,0
2020-05-27,545.6680945287471,14.700000000000001,57.37722679043256,0.0,0.0,-26.409132261685528,2020,5,27,2,2,22,0
2020-05-28,620.2893316767569,14.8,95.05050036441898,0.0,0.0,10.438831312337953,2020,5,28,3,2,22,0
2020-05-29,654.1101329278201,14.9,103.27043946315642,30.0,0.0,5.939693464663721,2020,5,29,4,2,22,0
2020-05-30,674.7770487789896,15.0,74.76719177207212,50.0,30.0,5.009857006917533,2020,5,30,5,2,22,1
2020-05-31,661.9410163356469,15.100000000000001,29.912052145707293,80.0,30.0,6.928964189939517,2020,5,31,6,2,22,1
2020-06-01,472.9772913039167,15.200000000000001,1.3777857354864622,-30.0,0.0,-13.600494431569816,2020,6,1,0,2,23,0
2020-06-02,529.4807705306871,15.3,9.535696587467129,0.0,0.0,4.645073943220071,2020,6,2,1,2,23,0
2020-06-03,568.3774002333604,15.4,47.11595076738682,0.0,0.0,5.8614494659736245,2020,6,3,2,2,23,0
2020-06-04,585.8952151137202,15.5,84.68224347424743,0.0,0.0,-14.287028360527357,2020,6,4,3,2,23,0
2020-06-05,675.7137642670359,15.600000000000001,92.79827404414075,30.0,0.0,37.31549022289513,2020,6,5,4,2,23,0
2020-06-06,669.3708793710697,15.700000000000001,64.19422095283389,50.0,30.0,9.47665841823575,2020,6,6,5,2,23,1
2020-06-07,621.2153389816308,15.8,19.24140892568383,80.0,30.0,-23.82606994405297,2020,6,7,6,2,23,1
2020-06-08,489.643704229232,15.9,-9.387367943444524,-30.0,0.0,13.131072172676594,2020,6,8,0,2,24,0
2020-06-09,495.18558899244846,16.0,-1.3207776030051832,0.0,0.0,-19.49363340454643,2020,6,9,1,2,24,0
2020-06-10,568.0130651478253,16.1,36.171373072976124,0.0,0.0,15.741692074849041,2020,6,10,2,2,24,0
2020-06-11,613.0247169706223,16.2,73.65280539047421,0.0,0.0,23.17191158014808,2020,6,11,3,2,24,0
2020-06-12,611.5735974645103,16.3,81.68724383154452,30.0,0.0,-16.41364636703421,2020,6,12,4,2,24,0
2020-06-13,668.6724136343473,16.400000000000002,53.00489104946085,50.0,30.0,19.267522584886436,2020,6,13,5,2,24,1
2020-06-14,642.7327135102017,16.5,7.977094971471747,80.0,30.0,8.255618538729966,2020,6,14,6,2,24,1
2020-06-15,482.31787511072014,16.6,-20.723328089169687,-30.0,0.0,16.4412031998898,2020,6,15,0,2,25,0
2020-06-16,541.9108348024782,16.7,-12.725024850600747,0.0,0.0,37.93585965307895,2020,6,16,1,2,25,0
2020-06-17,536.5944557280359,16.8,24.702218048093258,0.0,0.0,-4.90776232005741,2020,6,17,2,2,25,0
2020-06-18,563.9474178593125,16.900000000000002,62.12214114646231,0.0,0.0,-15.07472328714979,2020,6,18,3,2,25,0
2020-06-19,599.3081985605602,17.0,70.09848715307069,30.0,0.0,-17.790288592510464,2020,6,19,4,2,25,0
2020-06-20,622.1452702359268,17.1,41.361475935235504,50.0,30.0,-16.316205699308767,2020,6,20,5,2,25,1
2020-06-21,621.9404374283965,17.2,-3.717528383321394,80.0,30.0,-1.5420341882820823,2020,6,21,6,2,25,1
2020-06-22,461.6573451810935,17.3,-32.46569431523932,-30.0,0.0,6.8230394963328695,2020,6,22,0,2,26,0
2020-06-23,498.4221615551857,17.400000000000002,-24.511654431414613,0.0,0.0,5.533815986600381,2020,6,23,1,2,26,0
2020-06-24,546.9184827259772,17.5,12.874817745256761,0.0,0.0,16.543664980720475,2020,6,24,2,2,26,0
2020-06-25,568.1175126731281,17.6,50.25747483556992,0.0,0.0,0.26003783755814036,2020,6,25,3,2,26,0
2020-06-26,634.9707521339573,17.7,58.20007059081093,30.0,0.0,29.070681543146335,2020,6,26,4,2,26,0
2020-06-27,621.9396982144647,17.8,29.432834879223847,50.0,30.0,-5.293136664759121,2020,6,27,5,2,26,1
2020-06-28,666.6305241124937,17.900000000000002,-15.672859219298644,80.0,30.0,54.40338333179238,2020,6,28,6,2,26,1
2020-06-29,456.0691746466621,18.0,-44.44417230863805,-30.0,0.0,12.513346955300124,2020,6,29,0,2,27,0
2020-06-30,464.44711877098575,18.1,-36.5097301006886,0.0,0.0,-17.143151128325652,2020,6,30,1,2,27,0
2020-07-01,497.6428497276456,18.2,0.8606996888678409,0.0,0.0,-21.417849961222245,2020,7,1,2,3,27,0
2020-07-02,566.1803227393963,18.3,38.230874434532716,0.0,0.0,9.649448304863705,2020,7,2,3,3,27,0
2020-07-03,590.0952958798609,18.400000000000002,46.16455158637801,30.0,0.0,-4.469255706517017,2020,7,3,4,3,27,0
2020-07-04,630.1719735372673,18.5,17.391963655425485,50.0,30.0,14.280009881841838,2020,7,4,5,3,27,1
2020-07-05,610.3492377990148,18.6,-27.71551469245625,80.0,30.0,9.464752491470897,2020,7,5,6,3,27,1
2020-07-06,430.7583782144251,18.7,-56.48504353243751,-30.0,0.0,-1.4565782531374554,2020,7,6,0,3,28,0
2020-07-07,453.3188765335102,18.8,-48.545249105121634,0.0,0.0,-16.9358743613681,2020,7,7,1,3,28,0
2020-07-08,477.437154794114,18.900000000000002,-11.165900712168709,0.0,0.0,-30.29694449371729,2020,7,8,2,3,28,0
2020-07-09,536.2864573368033,19.0,26.216756378143664,0.0,0.0,-8.930299041340422,2020,7,9,3,3,28,0
2020-07-10,600.3944518035732,19.1,34.16647591710373,30.0,0.0,17.127975886469446,2020,7,10,4,3,28,0
2020-07-11,608.8953605446306,19.200000000000003,5.413485662026563,50.0,30.0,4.281874882604079,2020,7,11,5,3,28,1
2020-07-12,564.7143788973266,19.3,-39.670845528433496,80.0,30.0,-24.914775574239762,2020,7,12,6,3,28,1
2020-07-13,424.44993392857504,19.400000000000002,-68.41368458844858,-30.0,0.0,3.46361851702364,2020,7,13,0,3,29,0
2020-07-14,466.7626819271948,19.5,-60.44366566738196,0.0,0.0,7.7063475945767355,2020,7,14,1,3,29,0
2020-07-15,478.8922842529158,19.6,-23.03056702306154,0.0,0.0,-17.67714872402266,2020,7,15,2,3,29,0
2020-07-16,537.1638581942182,19.700000000000003,14.389356075307525,0.0,0.0,3.074502118910558,2020,7,16,3,3,29,0
2020-07-17,573.3440207052104,19.8,22.379846336290374,30.0,0.0,1.164174368919998,2020,7,17,4,3,29,0
2020-07-18,570.7117134793438,19.900000000000002,-6.328880564043708,50.0,30.0,-22.859405956612463,2020,7,18,5,3,29,1
2020-07-19,585.790278323739,20.0,-51.3654688832266,80.0,30.0,7.155747206965666,2020,7,19,6,3,29,1
2020-07-20,421.25859082469105,20.1,-80.0570997026737,-30.0,0.0,11.215690527364687,2020,7,20,0,3,30,0
2020-07-21,469.8286025176513,20.200000000000003,-72.03242234585429,0.0,0.0,21.66102486350554,2020,7,21,1,3,30,0
2020-07-22,506.8148097736247,20.3,-34.561231267073325,0.0,0.0,21.07604104069806,2020,7,22,2,3,30,0
2020-07-23,495.7668136912827,20.400000000000002,2.9202010504245237,0.0,0.0,-27.553387359141823,2020,7,23,3,3,30,0
2020-07-24,542.7190982903924,20.5,10.97559908869487,30.0,0.0,-18.756500798302454,2020,7,24,4,3,30,0
2020-07-25,593.2358646344055,20.6,-17.66484070976777,50.0,30.0,10.300705344173195,2020,7,25,5,3,30,1
2020-07-26,578.3459361808056,20.700000000000003,-62.629782837438725,80.0,30.0,10.275719018244176,2020,7,26,6,3,30,1
2020-07-27,409.8545241200741,20.8,-91.2464296060468,-30.0,0.0,10.300953726120955,2020,7,27,0,3,31,0
2020-07-28,514.8111772546438,20.900000000000002,-83.14345255845058,0.0,0.0,77.05462981309441,2020,7,28,1,3,31,0
2020-07-29,486.82714086301775,21.0,-45.59066935084556,0.0,0.0,11.41781021386334,2020,7,29,2,3,31,0
2020-07-30,535.7869361596271,21.1,-8.024376643984915,0.0,0.0,22.71131280361198,2020,7,30,3,3,31,0
2020-07-31,570.3991601680864,21.200000000000003,0.11912489822224614,30.0,0.0,19.080035269864048,2020,7,31,4,3,31,0
2020-08-01,585.8978306374169,21.3,-28.429994388698997,50.0,30.0,13.02782502611596,2020,8,1,5,3,31,1
2020-08-02,551.7941890497308,21.400000000000002,-73.30042605746219,80.0,30.0,-6.305384892806911,2020,8,2,6,3,31,1
2020-08-03,404.8599839845809,21.5,-101.81940042528448,-30.0,0.0,15.179384409865344,2020,8,3,0,3,32,0
2020-08-04,412.5278777317818,21.6,-93.6156179774668,0.0,0.0,-15.456504290751436,2020,8,4,1,3,32,0
2020-08-05,461.0047016241815,21.700000000000003,-55.95892624101836,0.0,0.0,-4.7363721348001775,2020,8,5,2,3,32,0
2020-08-06,493.80707637638625,21.8,-18.28565266703162,0.0,0.0,-9.70727095658207,2020,8,6,3,3,32,0
2020-08-07,543.5053531675703,21.900000000000002,-10.032129620156148,30.0,0.0,1.637482787726451,2020,8,7,4,3,32,0
2020-08-08,609.8249519668561,22.0,-38.468219366614015,50.0,30.0,46.29317133347017,2020,8,8,5,3,32,1
2020-08-09,511.53204919595385,22.1,-83.22264695221129,80.0,30.0,-37.34530385183496,2020,8,9,6,3,32,1
2020-08-10,394.30252673881563,22.200000000000003,-111.6226770686747,-30.0,0.0,13.72520380749027,2020,8,10,0,3,33,0
2020-08-11,386.748637129149,22.3,-103.29704544705787,0.0,0.0,-32.25431742379304,2020,8,11,1,3,33,0
2020-08-12,447.4457269633024,22.400000000000002,-65.5156357209089,0.0,0.0,-9.43863731578867,2020,8,12,2,3,33,0
2020-08-13,516.564199641395,22.5,-27.7148122979523,0.0,0.0,21.779011939347328,2020,8,13,3,3,33,0
2020-08-14,534.5546550432991,22.6,-19.330945338610164,30.0,0.0,1.2856003819092554,2020,8,14,4,3,33,0
2020-08-15,533.5111687085954,22.700000000000003,-47.63393573281849,50.0,30.0,-21.55489555858612,2020,8,15,5,3,33,1
2020-08-16,526.2413778482053,22.8,-92.25254796659529,80.0,30.0,-14.306074185199364,2020,8,16,6,3,33,1
